id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1047,"Tai nghe Bluetooth True Wireless Rapoo I100 Đen","Thiết kế nhỏ gọn, đậm chất thể thao, vỏ nhựa nhẹ bền 
Hình dáng bên ngoài housing lạ mắt, bề mặt nhám mịn, dễ dàng khi đeo và tháo tai nghe, trọng lượng nhẹ cho người dùng không bị đau tai khi đeo trong thời gian dài. 
 
 
 
Với hộp đựng tai nghe Bluetooth được làm dày dặn nên cho cảm giác tin cậy, bản lề hộp sạc chắc, nam châm hít khá mạnh. 
 
1 cặp đệm tai gắn trực tiếp vào tai nghe, 2 cặp rời không cùng kích cỡ, đảm bảo bạn dễ chọn để đeo thoải mái và bám tai cả khi đứng yên và di chuyển. 
 
 
Kết nối không dây nhanh chóng với công nghệ Bluetooth 5.0 
Tai nghe True Wireless hoạt động tự do trong nhà mà không sợ ngắt kết nối với đường truyền liền mạch trong 10 m. 
 
 
Âm thanh chất lượng cao, sinh động 
Tai nghe thể hiện các dải âm khá rõ nét, âm bass có độ lực, tròn vừa đủ để thuyết phục hầu hết mọi người. Hơn nữa, với chất âm trong, chân thật, đàm thoại ngoài trời không thành vấn đề với Rapoo I100. 
 
 
Điều khiển cực kỳ hiện đại với nút cảm ứng nhạy bén 
Bạn có thể điều chỉnh được các tính năng trên housing là phát/ngừng chơi nhạc, chuyển bài, nghe/nhận cuộc gọi, từ chối cuộc gọi linh hoạt. 
 
 
Tận hưởng những bản nhạc hay với thời gian dùng đến 3.5 giờ và chỉ cần 1.5 giờ để sạc đầy lại 
Tích hợp cổng sạc tiên tiến Type-C, tai nghe Rapoo dễ dàng sạc pin với dây cáp tương thích đi kèm bất cứ lúc nào bạn cần. 
 
 
 
Nếu bạn cần 1 tai nghe cá tính, dễ dùng, âm thanh hay và giá cả phải chăng thì tai nghe Bluetooth True Wireless Rapoo I100 đen chắc chắn là 1 ứng cử viên sáng giá mà bạn không thể bỏ qua.",https://tmdt2020group02.store/wp-content/uploads/2021/01/bluetooth-true-wireless-rapoo-i100-den-1-org-1.jpg,https://tmdt2020group02.store/product/tai-nghe-bluetooth-true-wireless-rapoo-i100-den/,"Bluetooth, Phụ kiện, Tai nghe","Điện tử cũ",6940000VND,in stock,wc_post_id_1047,,"https://tmdt2020group02.store/wp-content/uploads/2021/01/bluetooth-true-wireless-rapoo-i100-den-1-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2021/01/bluetooth-true-wireless-rapoo-i100-den-2-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2021/01/bluetooth-true-wireless-rapoo-i100-den-3-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2021/01/bluetooth-true-wireless-rapoo-i100-den-4-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2021/01/bluetooth-true-wireless-rapoo-i100-den-9-org.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,5940000VND,new,published,,,,,,,
wc_post_id_1044,"Gift Card","Gift Card Amount: 50VND",https://tmdt2020group02.store/wp-content/uploads/2021/01/pw-gift-card.png,https://tmdt2020group02.store/product/gift-card/?attribute_gift-card-amount=50VND,"Uncategorized","Điện tử cũ",50VND,in stock,wc_post_id_1041,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50VND,new,staging,,,,,,,
wc_post_id_1043,"Gift Card","Gift Card Amount: 25VND",https://tmdt2020group02.store/wp-content/uploads/2021/01/pw-gift-card.png,https://tmdt2020group02.store/product/gift-card/?attribute_gift-card-amount=25VND,"Uncategorized","Điện tử cũ",25VND,in stock,wc_post_id_1041,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25VND,new,staging,,,,,,,
wc_post_id_1045,"Gift Card","Gift Card Amount: 100VND",https://tmdt2020group02.store/wp-content/uploads/2021/01/pw-gift-card.png,https://tmdt2020group02.store/product/gift-card/?attribute_gift-card-amount=100VND,"Uncategorized","Điện tử cũ",100VND,in stock,wc_post_id_1041,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100VND,new,staging,,,,,,,
wc_post_id_1042,"Gift Card","Gift Card Amount: 10VND",https://tmdt2020group02.store/wp-content/uploads/2021/01/pw-gift-card.png,https://tmdt2020group02.store/product/gift-card/?attribute_gift-card-amount=10VND,"Uncategorized","Điện tử cũ",10VND,in stock,wc_post_id_1041,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,10VND,new,staging,,,,,,,
wc_post_id_997,"Tai nghe Bluetooth True Wireless Mozard TS13 Đen (Sao chép)","Thiết kế gọn đẹp, hiện đại, có thể mang theo đến mọi nơi 
Kiểu dáng tai nghe Mozard đơn giản, màu đen thanh lịch, bạn có thể đeo trực tiếp trên tai khi di chuyển hoặc cho vào hộp sạc và nhét trong túi xách, balo là nhẹ nhàng mang đi, tạo sự thuận tiện cho bất kỳ người dùng nào. Hộp sạc thiết kế bảo vệ tai nghe và hỗ trợ nạp pin dễ dàng. 
 
 
Kết nối Bluetooth 5.0 ổn định trong khoảng cách 10 m 
Tai nghe Bluetooth True Wireless Mozard TS13 đen ghép nối nhanh chóng với laptop, điện thoại, máy tính bảng, hạn chế tối đa hiện tượng ngắt kết nối với đường truyền chất lượng. 
 
 
Thời lượng pin đáp ứng nhu cầu sử dụng tới 5 tiếng 
Trong đó, hộp sạc tai nghe có dung lượng 300 mAh, 40 mAh/tai nghe, cho bạn giải trí, làm việc hiệu quả hơn. Sạc đầy trong 2 tiếng với cổng kết nối Micro USB. 
 
 
Tai nghe True Wireless xua tan mọi mệt mỏi với âm thanh trung thực, sống động 
 
Có nút điều khiển dễ dàng thao tác tùy chọn các chức năng 
- Tăng/giảm âm lượng. 
 
- Nghe nhận/từ chối cuộc gọi. 
 
- Phát/dừng bài hát. 
 
 
Đeo êm ái, bám chặt vào tai với mút tai nghe tiện dụng 
Ngoài cặp mút tai nghe gắn sẵn trên củ tai thì sản phẩm còn đi kèm 2 cặp mút cho bạn thay đổi tùy khuôn tai, đeo chắc chắn, tin cậy. 
 
 
 
Tóm lại, Mozard TS13 là mẫu tai nghe Bluetooth bình dân cực đáng chọn mua nhờ thiết kế năng động, thời gian dùng hợp lý, kết nối nhanh và sử dụng đầy tiện ích.",https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-1-org.jpg,https://tmdt2020group02.store/product/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-sao-chep/,"Bluetooth, Phụ kiện, Tai nghe","Điện tử cũ",390000VND,in stock,wc_post_id_997,,"https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-2-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-3-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-5-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-7-org.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,390000VND,new,published,,,,,,,
wc_post_id_725,"Tai nghe Bluetooth True Wireless Jabra Elite 65T Đen Titanium","Thiết kế không dây tự do, đeo gọn chắc 
Bề mặt phủ kim loại bóng loáng, bền bỉ, màu đen Titanium lịch lãm, phong cách, đeo vừa cả tai phái đẹp và phái mạnh. Trang bị đệm tai êm ái (có 3 cỡ nhỏ, trung và lớn) đeo kín nhưng vẫn dễ chịu. Thiết kế hộp sạc đồng màu cầm nắm gọn gàng, nhấc và đặt củ tai vào hộp nhẹ nhàng, đóng khít, bảo vệ tai nghe tốt. 
 
 
 
 
Lễ hội âm nhạc rộn ràng bên tai với âm thanh lôi cuốn, chi tiết 
Các dải âm rõ nét, âm bass chắc, dày, cho bạn nghe 'ngon lành', thích thú từ thể loại nhạc nhẹ đến nhạc mạnh. 
 
 
Kết nối các thiết bị điện thoại, laptop, tablet với đường truyền mạnh mẽ nhờ công nghệ Bluetooth 5.0 
Sản phẩm đã được hãng xử lý duy trì được kết nối ổn định trong khoảng cách xa đến 10 m. Tiện ích hơn, tai nghe cho phép tương thích đồng thời 2 thiết bị, có thể tự dừng/phát nhạc khi bạn tháo/đeo 1 bên củ tai. 
 
 
Đồng hành cùng bạn đến bất cứ nơi đâu với chuẩn chống nước, bụi IP55 
Bất chấp điều kiện thời tiết, hoạt động bạn tham gia, âm nhạc và các cuộc gọi vẫn đạt chất lượng cao, cho bạn thư giãn, làm việc hiệu quả hơn. 
 
 
Tận hưởng âm nhạc riêng với ứng dụng Jabra Sound+ 
Ứng dụng này đã có trên cả Android và iOS, người dùng dễ tìm kiếm và tải về. Trên Jabra Sound+ chỉnh âm EQ, đổi trợ lý ảo, bật/tắt HearThrough,... để tối ưu việc nghe nhạc và dùng tai nghe Jabra. 
 
 
 
Chỉ với 1 chạm lên tai nghe để kích hoạt HearThrough, người dùng có thể nhận biết các âm thanh trong môi trường bên ngoài, đảm bảo nắm bắt được các thông tin cần thiết, những chuyến hành trình an toàn. 
 
 
Hỗ trợ 4 microphone lọc tiếng ồn, tiếng gió tối ưu dễ gọi thoại, thực hiện các lệnh với trợ lý ảo Siri, Alexa, Google Now 
Tai nghe Bluetooth với giọng nói rõ ràng, người dùng dễ dàng truyền đạt ý tưởng của mình với trợ lý ảo hoặc chuyện trò với đối tác, người thân. 
 
 
Nghe nhạc mọi lúc bạn muốn với thời gian sử dụng 5 tiếng, thêm hộp sạc 15 tiếng 
Cần dùng gấp khi tai nghe sắp cạn năng lượng, sạc nhanh 15 phút cho thời gian dùng đến 1.5 tiếng, nếu sạc đầy bạn chỉ cần 2 tiếng qua cổng Micro USB. 
 
 
Dễ dàng thao tác các tính năng trên tai nghe True Wireless 
- Tai nghe phải: Dừng/phát nhạc, nghe nhận cuộc gọi, trợ lý ảo, kết nối Bluetooth, bật HearThrough. 
 
- Tai nghe trái: Tăng/giảm âm lượng, chuyển bài hát. 
 
 
 
Nhìn chung, tai nghe Bluetooth True Wireless Jabra Elite 65T đen Titanium của nhãn hiệu nổi tiếng Jabra - Đan Mạch sở hữu thiết kế không dây tiện dụng, âm thanh chất lượng, kết nối Bluetooth 5.0 tiên tiến, sử dụng yên tâm, thư thái là mẫu tai nghe nổi bật gần đây mà tin chắc rằng dùng rồi bạn sẽ cực yêu đấy, tậu ngay nhé.",https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-1-org.jpg,https://tmdt2020group02.store/product/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-den-titanium/,"Bluetooth, Phụ kiện, Tai nghe","Điện tử cũ",3150000VND,in stock,wc_post_id_725,,"https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-2-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-3-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-4-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-5-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-jabra-elite-65t-6-org.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3150000VND,new,published,,,,,,,
wc_post_id_719,"Tai nghe Bluetooth True Wireless Mozard TS13 Đen","Thiết kế gọn đẹp, hiện đại, có thể mang theo đến mọi nơi 
Kiểu dáng tai nghe Mozard đơn giản, màu đen thanh lịch, bạn có thể đeo trực tiếp trên tai khi di chuyển hoặc cho vào hộp sạc và nhét trong túi xách, balo là nhẹ nhàng mang đi, tạo sự thuận tiện cho bất kỳ người dùng nào. Hộp sạc thiết kế bảo vệ tai nghe và hỗ trợ nạp pin dễ dàng. 
 
 
Kết nối Bluetooth 5.0 ổn định trong khoảng cách 10 m 
Tai nghe Bluetooth True Wireless Mozard TS13 đen ghép nối nhanh chóng với laptop, điện thoại, máy tính bảng, hạn chế tối đa hiện tượng ngắt kết nối với đường truyền chất lượng. 
 
 
Thời lượng pin đáp ứng nhu cầu sử dụng tới 5 tiếng 
Trong đó, hộp sạc tai nghe có dung lượng 300 mAh, 40 mAh/tai nghe, cho bạn giải trí, làm việc hiệu quả hơn. Sạc đầy trong 2 tiếng với cổng kết nối Micro USB. 
 
 
Tai nghe True Wireless xua tan mọi mệt mỏi với âm thanh trung thực, sống động 
 
Có nút điều khiển dễ dàng thao tác tùy chọn các chức năng 
- Tăng/giảm âm lượng. 
 
- Nghe nhận/từ chối cuộc gọi. 
 
- Phát/dừng bài hát. 
 
 
Đeo êm ái, bám chặt vào tai với mút tai nghe tiện dụng 
Ngoài cặp mút tai nghe gắn sẵn trên củ tai thì sản phẩm còn đi kèm 2 cặp mút cho bạn thay đổi tùy khuôn tai, đeo chắc chắn, tin cậy. 
 
 
 
Tóm lại, Mozard TS13 là mẫu tai nghe Bluetooth bình dân cực đáng chọn mua nhờ thiết kế năng động, thời gian dùng hợp lý, kết nối nhanh và sử dụng đầy tiện ích.",https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-1-org.jpg,https://tmdt2020group02.store/product/tai-nghe-bluetooth-true-wireless-mozard-ts13-den/,"Bluetooth, Phụ kiện, Tai nghe","Điện tử cũ",390000VND,in stock,wc_post_id_719,,"https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-2-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-3-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-5-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/tai-nghe-bluetooth-true-wireless-mozard-ts13-den-7-org.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,390000VND,new,published,,,,,,,
wc_post_id_712,"Adapter Sạc 3.4A Dual Xmobile DS730-DB","Thiết kế nhỏ gọn, vỏ nhựa sáng bóng sạch đẹp với 2 màu xanh dương hoặc hồng tùy chọn 
Chân cắm có thể gập lại dễ bảo quản, tiện mang theo. Adapter Sạc 3.4A Dual Xmobile DS730-DB dễ dàng đặt gọn trong balo, giỏ xách hay cả túi quần của bạn. 
 
 
Sạc tiện lợi với 2 cổng USB, sạc riêng lẻ mỗi cổng cho dùng điện 5V - 2.4A 
 
Tương thích với đa dạng các thiết bị công nghệ qua các loại cáp sạc thông dụng 
Cho việc nạp pin cho điện thoại, máy tính bảng, laptop, hay pin sạc dự phòng,… của bạn thật đơn giản khi dùng adapter  sạc. 
 
 
Adapter sạc cùng lúc 2 cổng thật dễ dàng với tổng nguồn ra 5V - 3.4A 
Tiết kiệm thời gian nạp pin cho các thiết bị, thêm thoải mái cho nhu cầu giải trí và công việc. 
 
 
 
Tóm lại, adapter Dual Xmobile DS730-DB sẽ là lựa chọn thông minh, cho 1 thiết bị gọn gàng mà tiện dụng, tiết kiệm thời gian nạp pin cho các thiết bị, phục vụ tốt hơn nhu cầu giải trí và công việc của bạn.",https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-34a-dual-xmobile-ds730-db-hong-1-org.jpg,https://tmdt2020group02.store/product/adapter-sac-3-4a-dual-xmobile-ds730-db/,"Adapter, Phụ kiện","Điện tử cũ",162000VND,in stock,wc_post_id_712,,"https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-34a-dual-xmobile-ds730-db-hong-2-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-34a-dual-xmobile-ds730-db-hong-3-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-34a-dual-xmobile-ds730-db-hong-4-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-34a-dual-xmobile-ds730-db-hong-5-org.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,162000VND,new,published,,,,,,,
wc_post_id_706,"Adapter sạc 2 cổng 3A Anker Powerport Speed 2 - A2025 Đen","Adapter sạc 2 cổng 3A Anker A2025 đen có kích thước nhỏ gọn và trọng lượng nhẹ, giúp người dùng cầm nắm thoải mái, dễ dàng mang theo đến nhiều nơi để sử dụng 
 
Sạc Anker có nhiều mức dòng sạc khác nhau đảm bảo tương thích cho nhiều thiết bị (điện thoại, máy tính bảng,...) khác nhau, tối đa lên đến 3A cho hiệu suất sạc nhanh 
 
Adapter sạc Anker được trang bị 2 cổng ra USB, tương thích nhiều loại cáp, cho phép người dùng sạc 2 thiết bị di động cùng lúc, qua đó tiết kiệm thời gian hơn 
 
Tích hợp công nghệ sạc nhanh Quick Charge 3.0 của Qualcomm giúp bạn nạp 80% dung lượng pin chỉ trong vòng 35 phút (thiết bị được sạc phải hỗ trợ công nghệ Quick Charge 3.0) 
Ngoài ra, sản phẩm còn được trang bị công nghệ PowerIQ (tự động nhận diện thiết bị) và VoltageBoost (tự nhận diện trở kháng dây cáp), cho tốc độ sạc nhanh nhất nhưng vẫn đảm bảo sự an toàn. 
 
 
Adapter sạc có lớp vỏ được hoàn thiện từ nhựa cao cấp cho độ bền rất cao, cho bạn yên tâm hơn khi sử dụng",https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-2-cong-3a-anker-a2025-den-2-org.jpg,https://tmdt2020group02.store/product/adapter-sac-2-cong-3a-anker-powerport-speed-2-a2025-den/,"Adapter, Phụ kiện","Điện tử cũ",730000VND,in stock,wc_post_id_706,,"https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-2-cong-3a-anker-a2025-den-3-1-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-2-cong-3a-anker-a2025-den-4-1-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-2-cong-3a-anker-a2025-den-5-1-org.jpg,https://tmdt2020group02.store/wp-content/uploads/2020/11/adapter-sac-2-cong-3a-anker-a2025-den-6-1-org.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,600000VND,new,published,,,,,,,
